date,name,category,value
"Thursday, August 13, 2020",Albania,Europe,6971
"Friday, August 14, 2020",Albania,Europe,7117
"Saturday, August 15, 2020",Albania,Europe,7260
"Sunday, August 16, 2020",Albania,Europe,7380
"Monday, August 17, 2020",Albania,Europe,7499
"Tuesday, August 18, 2020",Albania,Europe,7654
"Wednesday, August 19, 2020",Albania,Europe,7812
"Wednesday, January 22, 2020",Algeria,Africa,0
"Thursday, January 23, 2020",Algeria,Africa,0
"Friday, January 24, 2020",Algeria,Africa,0
"Saturday, January 25, 2020",Algeria,Africa,0
"Sunday, January 26, 2020",Algeria,Africa,0
"Monday, January 27, 2020",Algeria,Africa,0
"Tuesday, January 28, 2020",Algeria,Africa,0
"Wednesday, January 29, 2020",Algeria,Africa,0
"Thursday, January 30, 2020",Algeria,Africa,0
"Friday, January 31, 2020",Algeria,Africa,0
"Saturday, February 1, 2020",Algeria,Africa,0
"Sunday, February 2, 2020",Algeria,Africa,0
"Monday, February 3, 2020",Algeria,Africa,0
"Tuesday, February 4, 2020",Algeria,Africa,0
"Wednesday, February 5, 2020",Algeria,Africa,0
"Thursday, February 6, 2020",Algeria,Africa,0
"Friday, February 7, 2020",Algeria,Africa,0
"Saturday, February 8, 2020",Algeria,Africa,0
"Sunday, February 9, 2020",Algeria,Africa,0
"Monday, February 10, 2020",Algeria,Africa,0
"Tuesday, February 11, 2020",Algeria,Africa,0
"Wednesday, February 12, 2020",Algeria,Africa,0
"Thursday, February 13, 2020",Algeria,Africa,0
"Friday, February 14, 2020",Algeria,Africa,0
"Saturday, February 15, 2020",Algeria,Africa,0
"Sunday, February 16, 2020",Algeria,Africa,0
"Monday, February 17, 2020",Algeria,Africa,0
"Tuesday, February 18, 2020",Algeria,Africa,0
"Wednesday, February 19, 2020",Algeria,Africa,0
"Thursday, February 20, 2020",Algeria,Africa,0
"Friday, February 21, 2020",Algeria,Africa,0
"Saturday, February 22, 2020",Algeria,Africa,0
"Sunday, February 23, 2020",Algeria,Africa,0
"Monday, February 24, 2020",Algeria,Africa,0
"Tuesday, February 25, 2020",Algeria,Africa,1
"Wednesday, February 26, 2020",Algeria,Africa,1
"Thursday, February 27, 2020",Algeria,Africa,1
"Friday, February 28, 2020",Algeria,Africa,1
"Saturday, February 29, 2020",Algeria,Africa,1
"Sunday, March 1, 2020",Algeria,Africa,1
"Monday, March 2, 2020",Algeria,Africa,3
"Tuesday, March 3, 2020",Algeria,Africa,5
"Wednesday, March 4, 2020",Algeria,Africa,12
"Thursday, March 5, 2020",Algeria,Africa,12
"Friday, March 6, 2020",Algeria,Africa,17
"Saturday, March 7, 2020",Algeria,Africa,17
"Sunday, March 8, 2020",Algeria,Africa,19
"Monday, March 9, 2020",Algeria,Africa,20
"Tuesday, March 10, 2020",Algeria,Africa,20
"Wednesday, March 11, 2020",Algeria,Africa,20
